City,Latitude,Longitude,Year,Month,Damage_Accident,Injury_Accident,Death_Accident,Saturday,Sunday,Monday,Tuesday,Wednesday,Thuresday,Friday,Day,Night,Inside_City,Outside_City,Small_Car,SUV_Car,Pickup_Truck,Bus,Truck,Water_Truck,Other_Car,Age_Less_18,Age_Above_18,Age_Above_30,Age_Above_40,Age_Above_50,Saudi,Non_Saudi,Married,Single,Educated,Illiterated,Private_License,Commercial_License,Machinery_License,Motorcycle_License,No_License,Valid_License,Expired_License,Collision_with_Vehicle,Collision_with_Fixed_Object,Pedestrian_Run_Over,Animal_Run_Over,Fire,Rollover,Run_Off_Road,Other_Accident_Type,Illegal_Stop,Illegal_Turn,Illegal_Overtaking,Running_Red_Light,Over_Speeding,Under_Drugs_Influence,Other_Accident_Cause,Injuries,Deaths,Uninjured
Riyadh,24.713552,46.675297,1437,1,13007,106,39,2199,1927,1989,1271,2349,2173,1244,8342,4810,11778,1374,5973,2032,257,2329,2470,91,0,4875,7984,3650,2494,529,14120,5412,10499,9033,19100,432,8225,2726,0,0,8581,9237,1714,7464,3192,143,2,0,1048,1303,0,2148,2811,3241,1772,3180,0,0,310,97,19125
Riyadh,24.713552,46.675297,1437,2,12998,212,76,1773,1854,1837,2006,2009,1875,1932,9505,3781,11827,1459,4856,2946,752,1937,2609,186,0,5127,6342,3245,2912,1452,14476,4602,11347,7731,18881,197,8528,5411,0,0,5139,10811,3128,5752,3002,231,0,0,1984,2317,0,2132,2229,3648,2413,2864,0,0,338,102,18638
Riyadh,24.713552,46.675297,1437,3,11877,271,71,1766,2216,1762,1694,1673,1721,1387,9030,3189,10748,1471,4421,2745,689,1782,2485,97,0,5102,6408,3121,2810,1384,14703,4122,10606,8219,18716,109,8955,4883,0,0,4987,10725,3113,5387,2529,214,0,0,1876,2213,0,1215,1425,1869,3687,4023,0,0,333,103,18389
Riyadh,24.713552,46.675297,1437,4,12004,258,67,2122,2208,1615,1633,1469,1527,1755,9081,3248,10728,1601,4328,2710,725,1925,2574,67,0,5608,6547,3466,2163,1187,12222,6749,10052,8919,18903,68,8893,5312,0,0,4766,10913,3292,5403,2587,237,5,1,1898,2198,0,1405,1341,1676,3526,4381,0,0,339,126,18506
Riyadh,24.713552,46.675297,1437,5,12988,198,64,2439,1807,1773,1870,1743,1836,1782,8349,4901,11530,1720,4643,2873,889,2112,2685,48,0,5374,6291,3285,1985,1058,10247,7746,9839,8154,17932,61,8997,5717,0,0,3279,10462,4252,8342,3217,89,0,0,624,978,0,2194,2049,2698,2943,3366,0,0,323,93,17577
Riyadh,24.713552,46.675297,1437,6,12441,217,96,1980,1682,1832,1892,1883,1703,1782,7329,5425,10976,1778,4196,2622,652,23347,2899,38,0,5826,7796,4946,2883,1174,12317,10308,13122,9503,22480,145,10371,6954,0,0,5300,12025,5300,7252,3836,297,1,1,455,912,0,2100,1360,2550,3028,3716,0,0,343,114,32168
Riyadh,24.713552,46.675297,1437,7,12000,248,103,1721,1736,1548,1842,1863,1946,1695,5237,7114,10442,1909,5017,2480,567,1995,43,0,,5267,7922,6402,2716,1438,13477,10268,12893,10852,23619,126,11486,7426,0,0,4833,14386,4526,7955,2740,267,3,2,485,899,0,2431,1608,1694,3157,3461,0,0,377,138,23230
Riyadh,24.713552,46.675297,1437,8,12456,235,79,2244,1834,1833,1769,1780,1676,1634,5608,7162,10602,2168,4901,2366,408,2900,2147,48,0,5321,7847,6989,3255,1691,15388,9715,13367,11736,25005,98,13469,7687,0,0,3947,16628,4528,8173,2917,330,4,2,329,1015,0,1895,1175,2462,3073,4165,0,0,382,101,24620
Riyadh,24.713552,46.675297,1437,9,10475,266,123,1797,1795,1566,1507,1379,1406,1414,4763,6101,8704,2160,3703,2947,318,1733,2142,21,0,3901,4618,6118,2925,1948,11527,7983,14039,5471,19434,76,11543,5214,0,0,2753,13402,3355,5736,2247,179,6,2,431,2263,0,1799,1116,2124,2839,2986,0,0,469,162,18879
Riyadh,24.713552,46.675297,1437,10,9204,177,96,1638,1245,1259,1283,1322,1387,1343,5912,3565,4628,4849,3812,2652,652,1347,904,110,0,2884,4692,6548,3216,979,10922,7397,13611,4708,18240,79,9672,3219,0,0,5428,10263,2628,5352,2819,397,1,1,403,504,0,1914,1760,2411,1829,1563,0,0,349,128,17842
Riyadh,24.713552,46.675297,1437,11,10022,171,98,1597,1132,1642,1324,1827,1755,1014,6181,4110,7331,2960,3196,2122,752,2347,1699,175,0,2514,7174,6547,3893,2497,13217,9408,14133,8492,22361,264,10371,6954,0,0,5300,13457,3868,5242,3533,297,1,1,445,772,0,1924,1260,2486,2738,1883,0,0,276,126,22223
Riyadh,24.713552,46.675297,1437,12,8688,203,102,1559,1295,1244,1272,1125,1313,1185,4701,4292,5114,3879,2420,1849,631,1921,1190,982,0,2479,3960,4516,3142,2232,9418,6911,12611,3718,16261,68,9481,2116,0,0,4732,10291,1306,4901,2924,559,1,0,325,283,0,1194,1921,2215,1529,2134,0,0,368,140,15821
Qurayyat,31.333333,37.341944,1437,1,311,24,5,42,36,45,45,58,65,49,66,274,323,17,277,196,0,0,185,2,2,68,456,98,32,8,525,137,507,155,661,1,626,19,0,0,17,607,38,322,7,2,0,0,8,0,1,0,34,65,0,95,0,146,29,5,643
Qurayyat,31.333333,37.341944,1437,2,293,30,7,45,51,42,46,44,53,49,73,257,310,20,272,181,2,5,177,2,1,62,431,92,42,13,503,137,463,177,639,1,602,19,0,1,18,589,33,306,1,10,0,0,12,1,0,3,29,58,0,90,0,150,54,13,614
Qurayyat,31.333333,37.341944,1437,3,347,12,4,62,52,37,48,57,52,55,95,268,351,12,348,185,2,2,179,0,0,57,457,133,60,9,583,133,527,189,708,8,680,20,0,0,16,660,40,346,7,2,0,0,8,0,0,6,32,60,0,109,0,156,25,4,704
Qurayyat,31.333333,37.341944,1437,4,286,16,5,40,51,41,54,41,39,41,64,243,297,10,288,166,0,0,147,1,0,58,385,107,46,6,497,105,474,128,596,6,577,17,0,0,8,562,32,298,4,3,1,0,1,0,0,0,28,65,0,85,0,129,16,5,601
Qurayyat,31.333333,37.341944,1437,5,254,20,7,17,26,45,61,47,44,41,85,196,265,16,284,132,1,1,127,0,4,80,326,93,41,7,453,94,434,113,539,8,509,17,2,0,19,490,38,267,7,5,2,0,0,0,0,0,30,62,0,84,0,105,21,7,543
Qurayyat,31.333333,37.341944,1437,6,288,13,2,47,38,39,43,41,50,45,72,231,295,8,272,173,0,0,149,0,1,54,382,107,48,4,492,103,456,139,589,6,572,12,0,0,11,550,34,287,7,2,1,0,6,0,0,0,30,65,0,83,0,125,20,3,583
Qurayyat,31.333333,37.341944,1437,7,285,27,0,53,44,47,42,41,42,43,66,246,301,11,261,183,0,0,166,0,1,57,415,92,37,10,487,124,453,158,607,4,586,9,0,0,16,568,27,295,4,6,3,0,1,0,3,0,30,62,0,76,0,144,43,0,597
Qurayyat,31.333333,37.341944,1437,8,283,17,5,36,60,44,43,46,34,42,77,228,290,15,271,172,0,0,155,0,1,53,378,112,49,7,492,107,458,141,591,8,576,14,0,0,9,554,36,287,10,3,0,0,4,0,1,0,28,60,2,89,0,126,40,8,586
Qurayyat,31.333333,37.341944,1437,9,289,15,6,45,39,45,42,38,43,58,76,234,298,12,282,170,0,0,155,0,0,57,395,102,46,7,496,111,455,152,601,6,577,14,0,0,16,556,35,295,4,6,0,0,5,0,0,0,31,64,0,84,0,131,33,8,590
Qurayyat,31.333333,37.341944,1437,10,303,14,1,46,45,45,43,54,42,43,68,250,309,9,268,185,0,0,174,0,0,56,425,97,40,9,521,106,485,142,623,4,604,11,0,0,12,576,39,308,2,1,1,0,5,0,1,0,31,58,5,82,0,142,21,1,608
Qurayyat,31.333333,37.341944,1437,11,295,9,4,41,55,35,47,41,47,42,72,236,298,10,254,178,0,0,175,0,0,55,414,92,38,8,473,134,466,141,603,4,590,8,0,0,9,566,32,297,3,5,0,0,3,0,0,0,31,56,0,88,0,133,13,5,597
Qurayyat,31.333333,37.341944,1437,12,292,18,8,56,43,42,36,41,44,56,70,248,308,10,281,178,0,0,164,0,0,57,419,97,48,2,506,117,479,144,619,4,590,17,0,0,16,571,36,300,10,3,0,0,5,0,0,0,29,62,0,85,0,142,31,10,602
Asir,19.166667,43.166667,1437,1,2647,71,59,423,429,335,303,321,469,497,1620,1157,1930,847,2153,1167,44,1157,221,50,12,346,2168,1536,588,166,3734,1070,3715,1089,4594,210,3418,679,0,0,707,3464,633,1644,402,105,70,4,430,122,0,216,277,299,62,1365,0,558,236,72,4760
Asir,19.166667,43.166667,1437,2,2902,65,46,527,425,406,453,366,425,411,1830,1183,1726,1287,2421,1341,22,1066,457,27,9,366,1983,1741,914,339,3990,1353,3557,1786,5209,134,3847,1196,0,0,300,4855,188,2033,488,39,21,0,218,180,34,110,231,300,103,1162,0,1107,191,61,5379
Asir,19.166667,43.166667,1437,3,2532,56,67,404,419,412,315,334,386,385,2005,650,1920,735,2061,962,103,1091,289,59,0,658,2296,874,494,243,3594,971,3574,991,4409,156,2952,843,0,0,770,3373,422,2029,301,106,27,9,153,30,0,162,111,210,30,1564,0,578,220,88,4696
