epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3791,1.19392,1.73849,1.35722,0.40677,0.35583,0.30683,0.12457,2.08089,2.55325,1.92323,0.0668916,9.96241e-05,9.96241e-05
2,57.2436,1.02043,1.29884,1.27548,0.69976,0.57055,0.63789,0.35003,1.58333,1.42459,1.58168,0.0336582,0.000199602,0.000199602
3,81.8789,0.93933,1.19667,1.23435,0.7386,0.71073,0.77265,0.47446,1.35184,1.08132,1.39717,0.000424807,0.000299494,0.000299494
4,106.336,0.90842,1.08682,1.20574,0.72886,0.69939,0.77532,0.44466,1.48677,1.04732,1.4956,0.000299707,0.000299707,0.000299707
5,130.561,0.85399,1.02923,1.18511,0.86056,0.69939,0.80875,0.4985,1.41874,1.02398,1.44951,0.000299479,0.000299479,0.000299479
6,154.989,0.84998,0.9905,1.17535,0.81239,0.76074,0.83904,0.51351,1.35219,0.92911,1.39932,0.000299187,0.000299187,0.000299187
7,179.179,0.82114,0.9593,1.15853,0.80269,0.69881,0.79939,0.47108,1.3764,0.92437,1.39212,0.000298829,0.000298829,0.000298829
8,206.651,0.79413,0.90373,1.1427,0.76992,0.82121,0.85208,0.51251,1.37865,0.87744,1.40118,0.000298407,0.000298407,0.000298407
9,235.319,0.78284,0.87695,1.13345,0.87397,0.77914,0.86532,0.54978,1.31915,0.86048,1.37673,0.00029792,0.00029792,0.00029792
10,262.494,0.77712,0.85928,1.13297,0.81478,0.76074,0.8159,0.53175,1.34062,0.86866,1.39491,0.00029737,0.00029737,0.00029737
11,289.449,0.75467,0.84082,1.11722,0.75578,0.81595,0.8501,0.52344,1.41723,0.86278,1.44203,0.000296755,0.000296755,0.000296755
12,315.12,0.73323,0.79484,1.10779,0.82998,0.81595,0.86105,0.52454,1.35697,0.8528,1.40421,0.000296076,0.000296076,0.000296076
13,339.576,0.75781,0.82482,1.11653,0.82693,0.82075,0.87728,0.54085,1.37086,0.81056,1.38792,0.000295335,0.000295335,0.000295335
14,364.148,0.73499,0.80033,1.11109,0.80411,0.76687,0.86539,0.52896,1.3868,0.84975,1.43309,0.00029453,0.00029453,0.00029453
15,388.353,0.7134,0.77252,1.10447,0.8468,0.7546,0.85884,0.54552,1.32641,0.79536,1.35731,0.000293662,0.000293662,0.000293662
16,412.669,0.72272,0.76752,1.10182,0.78604,0.7362,0.81031,0.48815,1.37976,0.87442,1.4339,0.000292732,0.000292732,0.000292732
17,436.959,0.71229,0.76534,1.09581,0.86651,0.79646,0.87608,0.55306,1.33056,0.75647,1.3585,0.00029174,0.00029174,0.00029174
18,461.281,0.71756,0.7554,1.10084,0.88955,0.79056,0.89875,0.5549,1.33315,0.72624,1.38156,0.000290686,0.000290686,0.000290686
19,485.878,0.71085,0.74751,1.09816,0.87006,0.79755,0.86051,0.54434,1.37142,0.77052,1.4436,0.000289572,0.000289572,0.000289572
20,510.052,0.68503,0.71164,1.08512,0.75271,0.88344,0.8854,0.55802,1.30128,0.73043,1.34384,0.000288397,0.000288397,0.000288397
21,534.253,0.70441,0.72083,1.09412,0.86395,0.74021,0.8603,0.55354,1.31839,0.79352,1.37115,0.000287162,0.000287162,0.000287162
22,558.668,0.68186,0.70445,1.08553,0.8114,0.84463,0.86812,0.57015,1.29413,0.73908,1.36358,0.000285867,0.000285867,0.000285867
23,582.632,0.67725,0.70636,1.08099,0.78473,0.83436,0.85296,0.5453,1.2946,0.74458,1.35593,0.000284513,0.000284513,0.000284513
24,606.917,0.69383,0.71433,1.08334,0.81471,0.83624,0.87059,0.55321,1.28707,0.7634,1.33943,0.000283101,0.000283101,0.000283101
25,631.213,0.6756,0.67629,1.07125,0.88631,0.81595,0.89895,0.57619,1.27655,0.71583,1.33425,0.000281632,0.000281632,0.000281632
26,655.775,0.68039,0.69782,1.08432,0.8588,0.78528,0.87527,0.576,1.24524,0.72538,1.31606,0.000280105,0.000280105,0.000280105
27,679.602,0.66038,0.66101,1.06573,0.86797,0.76631,0.87056,0.55761,1.32117,0.73797,1.38023,0.000278522,0.000278522,0.000278522
28,703.833,0.6639,0.68543,1.06583,0.80253,0.83436,0.88273,0.5765,1.27941,0.71288,1.34353,0.000276883,0.000276883,0.000276883
29,728.642,0.65957,0.67658,1.0671,0.80303,0.84049,0.87169,0.56073,1.31015,0.73765,1.38141,0.000275189,0.000275189,0.000275189
30,752.968,0.66056,0.664,1.07179,0.88331,0.83436,0.90198,0.55166,1.3403,0.73251,1.38066,0.000273441,0.000273441,0.000273441
31,780.519,0.65414,0.65428,1.06704,0.8477,0.81952,0.88523,0.56391,1.29483,0.74038,1.33999,0.000271639,0.000271639,0.000271639
32,809.542,0.64386,0.65497,1.05825,0.83562,0.88344,0.90611,0.57519,1.34529,0.66878,1.39701,0.000269785,0.000269785,0.000269785
33,836.289,0.64535,0.64784,1.06143,0.8598,0.86531,0.90257,0.5938,1.27484,0.66207,1.34517,0.000267878,0.000267878,0.000267878
