epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7051,1.30439,1.12272,1.2286,0.752,0.6693,0.7549,0.48516,1.24031,1.00419,1.15087,0.0668516,1.65825e-05,1.65825e-05
2,39.4921,1.24199,1.03604,1.18884,0.76434,0.68006,0.76326,0.49801,1.17585,0.94042,1.12249,0.0335349,3.32455e-05,3.32455e-05
3,55.1189,1.21979,1.01003,1.17261,0.77187,0.67288,0.76882,0.50644,1.176,0.9205,1.12167,0.000218244,4.9894e-05,4.9894e-05
4,70.3829,1.2267,0.98741,1.17516,0.76451,0.68077,0.77161,0.50962,1.16814,0.91084,1.11837,4.99508e-05,4.99508e-05,4.99508e-05
5,85.8107,1.21204,0.98117,1.17526,0.77866,0.67504,0.77491,0.51435,1.15491,0.90434,1.1127,4.99125e-05,4.99125e-05,4.99125e-05
6,101.482,1.22558,0.99552,1.17811,0.79011,0.66699,0.77031,0.51084,1.15777,0.90168,1.11437,4.98633e-05,4.98633e-05,4.98633e-05
7,116.829,1.19914,0.97819,1.16265,0.75743,0.69727,0.77289,0.51184,1.16681,0.91174,1.11563,4.98033e-05,4.98033e-05,4.98033e-05
8,131.96,1.20913,0.97735,1.18026,0.75744,0.67862,0.77192,0.50874,1.16482,0.9036,1.11534,4.97323e-05,4.97323e-05,4.97323e-05
9,147.141,1.19962,0.96977,1.1644,0.7607,0.6944,0.77665,0.51374,1.15902,0.90003,1.11544,4.96506e-05,4.96506e-05,4.96506e-05
10,162.371,1.18304,0.95623,1.16651,0.77652,0.68651,0.77109,0.50837,1.16482,0.9119,1.11111,4.95581e-05,4.95581e-05,4.95581e-05
11,177.551,1.20026,0.96056,1.15848,0.7599,0.69154,0.77105,0.51156,1.16581,0.90279,1.1193,4.94548e-05,4.94548e-05,4.94548e-05
12,192.884,1.20468,0.97709,1.17237,0.78669,0.6858,0.77418,0.51229,1.16886,0.90097,1.117,4.93408e-05,4.93408e-05,4.93408e-05
13,208.512,1.19471,0.95376,1.16066,0.77547,0.69799,0.77675,0.51245,1.16527,0.90625,1.11407,4.92161e-05,4.92161e-05,4.92161e-05
14,227.188,1.17641,0.95658,1.16343,0.75545,0.70516,0.77672,0.51337,1.16926,0.89601,1.11583,4.90809e-05,4.90809e-05,4.90809e-05
15,245.289,1.17984,0.94725,1.15293,0.78194,0.6901,0.78083,0.51608,1.15621,0.8997,1.10947,4.89351e-05,4.89351e-05,4.89351e-05
16,263.325,1.19042,0.96069,1.15854,0.77483,0.69369,0.77683,0.5127,1.15781,0.89848,1.11176,4.87789e-05,4.87789e-05,4.87789e-05
17,281.196,1.18947,0.95451,1.17164,0.77748,0.69178,0.7763,0.51335,1.15395,0.89922,1.11382,4.86122e-05,4.86122e-05,4.86122e-05
18,298.241,1.19218,0.95601,1.17225,0.76752,0.68918,0.77023,0.51084,1.15931,0.90887,1.11395,4.84352e-05,4.84352e-05,4.84352e-05
19,316.925,1.18665,0.95889,1.16102,0.76196,0.69805,0.77407,0.51051,1.1656,0.89817,1.12311,4.82479e-05,4.82479e-05,4.82479e-05
20,335.498,1.18146,0.95868,1.16019,0.77999,0.69943,0.77824,0.51589,1.15485,0.89138,1.10855,4.80505e-05,4.80505e-05,4.80505e-05
21,352.42,1.18668,0.936,1.14701,0.78365,0.69896,0.7796,0.51279,1.15424,0.89027,1.10836,4.7843e-05,4.7843e-05,4.7843e-05
22,370.847,1.1647,0.93484,1.15422,0.775,0.70803,0.77458,0.50943,1.16269,0.89756,1.11465,4.76254e-05,4.76254e-05,4.76254e-05
23,388.984,1.17337,0.93304,1.14909,0.77366,0.70588,0.77843,0.51253,1.15778,0.89392,1.11517,4.7398e-05,4.7398e-05,4.7398e-05
24,407.445,1.17501,0.92743,1.15412,0.78737,0.68799,0.77608,0.51285,1.16276,0.89943,1.11742,4.71608e-05,4.71608e-05,4.71608e-05
25,425.287,1.17446,0.94477,1.15284,0.78951,0.69151,0.78167,0.51204,1.16247,0.901,1.11691,4.69139e-05,4.69139e-05,4.69139e-05
